"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","VALUE","ACRES","REL_PERCENT","annual_dist_acres"
"1","All Fire","13030_61_63_64_65_66",0.1843418,"Northeastern Interior Dry-Mesic Oak Forest",1870,350800,20.5,64667.10344
"2","All Fire","13150_48_53_57_59_61",0.0723582,"Southern Appalachian Oak Forest",1871,127,0,9.1894914
"3","All Fire","13170_57_61",0.0927246,"Allegheny-Cumberland Dry Oak Forest and Woodland",1873,15608,0.9,1447.2455568
"4","All Fire","13180_57_59_61",0.0129224,"Southern and Central Appalachian Cove Forest",1874,188784,11.1,2439.5423616
"5","All Fire","13200_48_57_61",0.048844,"Central and Southern Appalachian Montane Oak Forest",1875,126209,7.4,6164.552396
"6","All Fire","13210_61_63",0.0128164,"South-Central Interior Mesophytic Forest",1876,10729,0.6,137.5071556
"7","All Fire","13400_61",0.0009484,"Appalachian Shale Barrens",1877,275,0,0.26081
"8","All Fire","13500_61",0.001283,"Central and Southern Appalachian Spruce-Fir Forest",1878,454640,26.6,583.30312
"9","All Fire","13520_53_54_57_59_60_61",0.2079842,"Southern Appalachian Montane Pine Forest and Woodland",1879,687,0,142.8851454
"10","All Fire","13690_60_61_63_64_65_66",0.072849,"Central Appalachian Dry Oak-Pine Forest",1882,100688,5.9,7335.020112
"11","All Fire","13700_53_61_62",0.0018756,"Appalachian (Hemlock-)Northern Hardwood Forest",1883,298073,17.5,559.0657188
"12","All Fire","13760_48_53_57_61",0.141272,"Southern Ridge and Valley/Cumberland Dry Calcareous Forest",1884,1657,0.1,234.087704
"13","All Fire","13770_60_61_63_64_65_66",0.0054236,"Central Appalachian Pine-Oak Rocky Woodland",1885,18171,1.1,98.5522356
"14","All Fire","14000_60_61",0.2635686,"Central Appalachian Alkaline Glade and Woodland",1886,1123,0.1,295.9875378
"15","All Fire","14710_47_48_53_54_57_59_60_61_63",0.0126628,"Central Interior and Appalachian Floodplain Systems",1887,15857,0.9,200.7940196
"16","All Fire","14720_61_62_63",0.0060214,"Central Interior and Appalachian Riparian Systems",1888,107942,6.3,649.9619588
"17","All Fire","14790_60_61_63_64_65_66",0.0017616,"Central Interior and Appalachian Swamp Systems",1889,5031,0.3,8.8626096
"18","All Transitions","13030_61_63_64_65_66",0.1940468,"Northeastern Interior Dry-Mesic Oak Forest",1870,350800,20.5,68071.61744
"19","All Transitions","13150_48_53_57_59_61",0.0877014,"Southern Appalachian Oak Forest",1871,127,0,11.1380778
"20","All Transitions","13170_57_61",0.1129456,"Allegheny-Cumberland Dry Oak Forest and Woodland",1873,15608,0.9,1762.8549248
"21","All Transitions","13180_57_59_61",0.0308342,"Southern and Central Appalachian Cove Forest",1874,188784,11.1,5821.0036128
"22","All Transitions","13200_48_57_61",0.0691116,"Central and Southern Appalachian Montane Oak Forest",1875,126209,7.4,8722.5059244
"23","All Transitions","13210_61_63",0.019996,"South-Central Interior Mesophytic Forest",1876,10729,0.6,214.537084
"24","All Transitions","13400_61",0.0200074,"Appalachian Shale Barrens",1877,275,0,5.502035
"25","All Transitions","13500_61",0.0090722,"Central and Southern Appalachian Spruce-Fir Forest",1878,454640,26.6,4124.585008
"26","All Transitions","13520_53_54_57_59_60_61",0.223188,"Southern Appalachian Montane Pine Forest and Woodland",1879,687,0,153.330156
"27","All Transitions","13690_60_61_63_64_65_66",0.1013044,"Central Appalachian Dry Oak-Pine Forest",1882,100688,5.9,10200.1374272
"28","All Transitions","13700_53_61_62",0.015701,"Appalachian (Hemlock-)Northern Hardwood Forest",1883,298073,17.5,4680.044173
"29","All Transitions","13760_48_53_57_61",0.1531132,"Southern Ridge and Valley/Cumberland Dry Calcareous Forest",1884,1657,0.1,253.7085724
"30","All Transitions","13770_60_61_63_64_65_66",0.180852,"Central Appalachian Pine-Oak Rocky Woodland",1885,18171,1.1,3286.261692
"31","All Transitions","14000_60_61",0.2635702,"Central Appalachian Alkaline Glade and Woodland",1886,1123,0.1,295.9893346
"32","All Transitions","14710_47_48_53_54_57_59_60_61_63",0.0349912,"Central Interior and Appalachian Floodplain Systems",1887,15857,0.9,554.8554584
"33","All Transitions","14720_61_62_63",0.024128,"Central Interior and Appalachian Riparian Systems",1888,107942,6.3,2604.424576
"34","All Transitions","14790_60_61_63_64_65_66",0.0098428,"Central Interior and Appalachian Swamp Systems",1889,5031,0.3,49.5191268
"35","Alternative Succession","13030_61_63_64_65_66",0.0058588,"Northeastern Interior Dry-Mesic Oak Forest",1870,350800,20.5,2055.26704
"36","Alternative Succession","13150_48_53_57_59_61",0.0078728,"Southern Appalachian Oak Forest",1871,127,0,0.9998456
"37","Alternative Succession","13170_57_61",0.0132624,"Allegheny-Cumberland Dry Oak Forest and Woodland",1873,15608,0.9,206.9995392
"38","Alternative Succession","13180_57_59_61",0.007645,"Southern and Central Appalachian Cove Forest",1874,188784,11.1,1443.25368
"39","Alternative Succession","13200_48_57_61",0.0145444,"Central and Southern Appalachian Montane Oak Forest",1875,126209,7.4,1835.6341796
"40","Alternative Succession","13210_61_63",0.0006494,"South-Central Interior Mesophytic Forest",1876,10729,0.6,6.9674126
"41","Alternative Succession","13520_53_54_57_59_60_61",0.0030694,"Southern Appalachian Montane Pine Forest and Woodland",1879,687,0,2.1086778
"42","Alternative Succession","13690_60_61_63_64_65_66",0.004916,"Central Appalachian Dry Oak-Pine Forest",1882,100688,5.9,494.982208
"43","Alternative Succession","13700_53_61_62",0.0064364,"Appalachian (Hemlock-)Northern Hardwood Forest",1883,298073,17.5,1918.5170572
"44","Alternative Succession","13760_48_53_57_61",0.0059874,"Southern Ridge and Valley/Cumberland Dry Calcareous Forest",1884,1657,0.1,9.9211218
"45","Alternative Succession","13770_60_61_63_64_65_66",0.082064,"Central Appalachian Pine-Oak Rocky Woodland",1885,18171,1.1,1491.184944
"46","Alternative Succession","14000_60_61",2.67e-06,"Central Appalachian Alkaline Glade and Woodland",1886,1123,0.1,0.00299841
"47","Alternative Succession","14710_47_48_53_54_57_59_60_61_63",0.0083988,"Central Interior and Appalachian Floodplain Systems",1887,15857,0.9,133.1797716
"48","Insect or Disease","13150_48_53_57_59_61",0.0013332,"Southern Appalachian Oak Forest",1871,127,0,0.1693164
"49","Insect or Disease","13170_57_61",0.0027966,"Allegheny-Cumberland Dry Oak Forest and Woodland",1873,15608,0.9,43.6493328
"50","Insect or Disease","13180_57_59_61",0.0038112,"Southern and Central Appalachian Cove Forest",1874,188784,11.1,719.4935808
"51","Insect or Disease","13200_48_57_61",0.0020006,"Central and Southern Appalachian Montane Oak Forest",1875,126209,7.4,252.4937254
"52","Insect or Disease","13210_61_63",0.0024756,"South-Central Interior Mesophytic Forest",1876,10729,0.6,26.5607124
"53","Insect or Disease","13500_61",0.0039008,"Central and Southern Appalachian Spruce-Fir Forest",1878,454640,26.6,1773.459712
"54","Insect or Disease","13520_53_54_57_59_60_61",0.0108874,"Southern Appalachian Montane Pine Forest and Woodland",1879,687,0,7.4796438
"55","Insect or Disease","13760_48_53_57_61",0.0004254,"Southern Ridge and Valley/Cumberland Dry Calcareous Forest",1884,1657,0.1,0.7048878
"56","Insect or Disease","13770_60_61_63_64_65_66",0.007502,"Central Appalachian Pine-Oak Rocky Woodland",1885,18171,1.1,136.318842
"57","Insect or Disease","14710_47_48_53_54_57_59_60_61_63",0.0030758,"Central Interior and Appalachian Floodplain Systems",1887,15857,0.9,48.7729606
"58","Mixed Fire","13030_61_63_64_65_66",0.0422056,"Northeastern Interior Dry-Mesic Oak Forest",1870,350800,20.5,14805.72448
"59","Mixed Fire","13150_48_53_57_59_61",0.007214,"Southern Appalachian Oak Forest",1871,127,0,0.916178
"60","Mixed Fire","13170_57_61",0.0171002,"Allegheny-Cumberland Dry Oak Forest and Woodland",1873,15608,0.9,266.8999216
"61","Mixed Fire","13180_57_59_61",0.0019828,"Southern and Central Appalachian Cove Forest",1874,188784,11.1,374.3209152
"62","Mixed Fire","13200_48_57_61",0.010776,"Central and Southern Appalachian Montane Oak Forest",1875,126209,7.4,1360.028184
"63","Mixed Fire","13210_61_63",0.0017656,"South-Central Interior Mesophytic Forest",1876,10729,0.6,18.9431224
"64","Mixed Fire","13400_61",0.0009484,"Appalachian Shale Barrens",1877,275,0,0.26081
"65","Mixed Fire","13500_61",7.72e-05,"Central and Southern Appalachian Spruce-Fir Forest",1878,454640,26.6,35.098208
"66","Mixed Fire","13520_53_54_57_59_60_61",0.01004,"Southern Appalachian Montane Pine Forest and Woodland",1879,687,0,6.89748
"67","Mixed Fire","13690_60_61_63_64_65_66",0.0021676,"Central Appalachian Dry Oak-Pine Forest",1882,100688,5.9,218.2513088
"68","Mixed Fire","13700_53_61_62",0.0008802,"Appalachian (Hemlock-)Northern Hardwood Forest",1883,298073,17.5,262.3638546
"69","Mixed Fire","13760_48_53_57_61",0.0090156,"Southern Ridge and Valley/Cumberland Dry Calcareous Forest",1884,1657,0.1,14.9388492
"70","Mixed Fire","13770_60_61_63_64_65_66",0.0026694,"Central Appalachian Pine-Oak Rocky Woodland",1885,18171,1.1,48.5056674
"71","Mixed Fire","14000_60_61",0.0545302,"Central Appalachian Alkaline Glade and Woodland",1886,1123,0.1,61.2374146
"72","Mixed Fire","14710_47_48_53_54_57_59_60_61_63",0.0025526,"Central Interior and Appalachian Floodplain Systems",1887,15857,0.9,40.4765782
"73","Non Fire Disturbances","13030_61_63_64_65_66",0.0038462,"Northeastern Interior Dry-Mesic Oak Forest",1870,350800,20.5,1349.24696
"74","Non Fire Disturbances","13150_48_53_57_59_61",0.0074704,"Southern Appalachian Oak Forest",1871,127,0,0.9487408
"75","Non Fire Disturbances","13170_57_61",0.0069586,"Allegheny-Cumberland Dry Oak Forest and Woodland",1873,15608,0.9,108.6098288
"76","Non Fire Disturbances","13180_57_59_61",0.0102668,"Southern and Central Appalachian Cove Forest",1874,188784,11.1,1938.2075712
"77","Non Fire Disturbances","13200_48_57_61",0.0057232,"Central and Southern Appalachian Montane Oak Forest",1875,126209,7.4,722.3193488
"78","Non Fire Disturbances","13210_61_63",0.0065302,"South-Central Interior Mesophytic Forest",1876,10729,0.6,70.0625158
"79","Non Fire Disturbances","13400_61",0.019059,"Appalachian Shale Barrens",1877,275,0,5.241225
"80","Non Fire Disturbances","13500_61",0.0077892,"Central and Southern Appalachian Spruce-Fir Forest",1878,454640,26.6,3541.281888
