"","model_label","Model_Code","refLabel","refPercent","BpS_Name","Var1","Var2","Freq","BPS_CODE","ZONE","total_count","currentPercent"
"1","13030_61_63_64_65_66_A","13030_61_63_64_65_66","A",4,"Northeastern Interior Dry-Mesic Oak Forest",1870,1,223,13030,61,1577375,0
"2","13030_61_63_64_65_66_B","13030_61_63_64_65_66","B",22,"Northeastern Interior Dry-Mesic Oak Forest",1870,2,6,13030,61,1577375,0
"3","13030_61_63_64_65_66_C","13030_61_63_64_65_66","C",49,"Northeastern Interior Dry-Mesic Oak Forest",1870,3,164334,13030,61,1577375,10
"4","13030_61_63_64_65_66_D","13030_61_63_64_65_66","D",18,"Northeastern Interior Dry-Mesic Oak Forest",1870,4,469409,13030,61,1577375,29
"5","13030_61_63_64_65_66_E","13030_61_63_64_65_66","E",7,"Northeastern Interior Dry-Mesic Oak Forest",1870,5,684896,13030,61,1577375,43
"6","13030_61_63_64_65_66_Agriculture","13030_61_63_64_65_66","Agriculture",0,"Northeastern Interior Dry-Mesic Oak Forest",1870,180,128485,13030,61,1577375,8
"7","13030_61_63_64_65_66_Developed","13030_61_63_64_65_66","Developed",0,"Northeastern Interior Dry-Mesic Oak Forest",1870,120,68021,13030,61,1577375,4
"8","13030_61_63_64_65_66_Water","13030_61_63_64_65_66","Water",0,"Northeastern Interior Dry-Mesic Oak Forest",NA,NA,NA,NA,NA,NA,NA
"9","13030_61_63_64_65_66_UN","13030_61_63_64_65_66","UN",0,"Northeastern Interior Dry-Mesic Oak Forest",1870,6,15,13030,61,1577375,0
"10","13030_61_63_64_65_66_UE","13030_61_63_64_65_66","UE",0,"Northeastern Interior Dry-Mesic Oak Forest",1870,7,61986,13030,61,1577375,3
"11","13150_48_53_57_59_61_A","13150_48_53_57_59_61","A",5,"Southern Appalachian Oak Forest",NA,NA,NA,NA,NA,NA,NA
"12","13150_48_53_57_59_61_B","13150_48_53_57_59_61","B",25,"Southern Appalachian Oak Forest",NA,NA,NA,NA,NA,NA,NA
"13","13150_48_53_57_59_61_C","13150_48_53_57_59_61","C",36,"Southern Appalachian Oak Forest",NA,NA,NA,NA,NA,NA,NA
"14","13150_48_53_57_59_61_D","13150_48_53_57_59_61","D",25,"Southern Appalachian Oak Forest",1871,4,3,13150,61,572,0
"15","13150_48_53_57_59_61_E","13150_48_53_57_59_61","E",9,"Southern Appalachian Oak Forest",1871,5,547,13150,61,572,95
"16","13150_48_53_57_59_61_Agriculture","13150_48_53_57_59_61","Agriculture",0,"Southern Appalachian Oak Forest",NA,NA,NA,NA,NA,NA,NA
"17","13150_48_53_57_59_61_Developed","13150_48_53_57_59_61","Developed",0,"Southern Appalachian Oak Forest",1871,120,5,13150,61,572,0
"18","13150_48_53_57_59_61_Water","13150_48_53_57_59_61","Water",0,"Southern Appalachian Oak Forest",NA,NA,NA,NA,NA,NA,NA
"19","13150_48_53_57_59_61_UN","13150_48_53_57_59_61","UN",0,"Southern Appalachian Oak Forest",NA,NA,NA,NA,NA,NA,NA
"20","13150_48_53_57_59_61_UE","13150_48_53_57_59_61","UE",0,"Southern Appalachian Oak Forest",1871,7,17,13150,61,572,2
"21","13170_57_61_A","13170_57_61","A",16,"Allegheny-Cumberland Dry Oak Forest and Woodland",1873,1,16,13170,61,70181,0
"22","13170_57_61_B","13170_57_61","B",11,"Allegheny-Cumberland Dry Oak Forest and Woodland",1873,2,109,13170,61,70181,0
"23","13170_57_61_C","13170_57_61","C",20,"Allegheny-Cumberland Dry Oak Forest and Woodland",1873,3,449,13170,61,70181,0
"24","13170_57_61_D","13170_57_61","D",26,"Allegheny-Cumberland Dry Oak Forest and Woodland",1873,4,2250,13170,61,70181,3
"25","13170_57_61_E","13170_57_61","E",27,"Allegheny-Cumberland Dry Oak Forest and Woodland",1873,5,56924,13170,61,70181,81
"26","13170_57_61_Agriculture","13170_57_61","Agriculture",0,"Allegheny-Cumberland Dry Oak Forest and Woodland",1873,180,2603,13170,61,70181,3
"27","13170_57_61_Developed","13170_57_61","Developed",0,"Allegheny-Cumberland Dry Oak Forest and Woodland",1873,120,3433,13170,61,70181,4
"28","13170_57_61_Water","13170_57_61","Water",0,"Allegheny-Cumberland Dry Oak Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"29","13170_57_61_UN","13170_57_61","UN",0,"Allegheny-Cumberland Dry Oak Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"30","13170_57_61_UE","13170_57_61","UE",0,"Allegheny-Cumberland Dry Oak Forest and Woodland",1873,7,4397,13170,61,70181,6
"31","13180_57_59_61_A","13180_57_59_61","A",5,"Southern and Central Appalachian Cove Forest",1874,1,190,13180,61,848870,0
"32","13180_57_59_61_B","13180_57_59_61","B",26,"Southern and Central Appalachian Cove Forest",1874,2,134,13180,61,848870,0
"33","13180_57_59_61_C","13180_57_59_61","C",2,"Southern and Central Appalachian Cove Forest",1874,3,5205,13180,61,848870,0
"34","13180_57_59_61_D","13180_57_59_61","D",4,"Southern and Central Appalachian Cove Forest",1874,4,78574,13180,61,848870,9
"35","13180_57_59_61_E","13180_57_59_61","E",63,"Southern and Central Appalachian Cove Forest",1874,5,626439,13180,61,848870,73
"36","13180_57_59_61_Agriculture","13180_57_59_61","Agriculture",0,"Southern and Central Appalachian Cove Forest",1874,180,51134,13180,61,848870,6
"37","13180_57_59_61_Developed","13180_57_59_61","Developed",0,"Southern and Central Appalachian Cove Forest",1874,120,55515,13180,61,848870,6
"38","13180_57_59_61_Water","13180_57_59_61","Water",0,"Southern and Central Appalachian Cove Forest",NA,NA,NA,NA,NA,NA,NA
"39","13180_57_59_61_UN","13180_57_59_61","UN",0,"Southern and Central Appalachian Cove Forest",NA,NA,NA,NA,NA,NA,NA
"40","13180_57_59_61_UE","13180_57_59_61","UE",0,"Southern and Central Appalachian Cove Forest",1874,7,31679,13180,61,848870,3
"41","13200_48_57_61_A","13200_48_57_61","A",13,"Central and Southern Appalachian Montane Oak Forest",1875,1,349,13200,61,567500,0
"42","13200_48_57_61_B","13200_48_57_61","B",16,"Central and Southern Appalachian Montane Oak Forest",1875,2,475,13200,61,567500,0
"43","13200_48_57_61_C","13200_48_57_61","C",11,"Central and Southern Appalachian Montane Oak Forest",1875,3,2647,13200,61,567500,0
"44","13200_48_57_61_D","13200_48_57_61","D",18,"Central and Southern Appalachian Montane Oak Forest",1875,4,36673,13200,61,567500,6
"45","13200_48_57_61_E","13200_48_57_61","E",42,"Central and Southern Appalachian Montane Oak Forest",1875,5,461928,13200,61,567500,81
"46","13200_48_57_61_Agriculture","13200_48_57_61","Agriculture",0,"Central and Southern Appalachian Montane Oak Forest",1875,180,12535,13200,61,567500,2
"47","13200_48_57_61_Developed","13200_48_57_61","Developed",0,"Central and Southern Appalachian Montane Oak Forest",1875,120,21943,13200,61,567500,3
"48","13200_48_57_61_Water","13200_48_57_61","Water",0,"Central and Southern Appalachian Montane Oak Forest",NA,NA,NA,NA,NA,NA,NA
"49","13200_48_57_61_UN","13200_48_57_61","UN",0,"Central and Southern Appalachian Montane Oak Forest",NA,NA,NA,NA,NA,NA,NA
"50","13200_48_57_61_UE","13200_48_57_61","UE",0,"Central and Southern Appalachian Montane Oak Forest",1875,7,30950,13200,61,567500,5
"51","13210_61_63_A","13210_61_63","A",2,"South-Central Interior Mesophytic Forest",1876,1,272,13210,61,48241,0
"52","13210_61_63_B","13210_61_63","B",8,"South-Central Interior Mesophytic Forest",1876,2,21019,13210,61,48241,43
"53","13210_61_63_C","13210_61_63","C",5,"South-Central Interior Mesophytic Forest",1876,3,13,13210,61,48241,0
"54","13210_61_63_D","13210_61_63","D",3,"South-Central Interior Mesophytic Forest",1876,4,3537,13210,61,48241,7
"55","13210_61_63_E","13210_61_63","E",82,"South-Central Interior Mesophytic Forest",NA,NA,NA,NA,NA,NA,NA
"56","13210_61_63_Agriculture","13210_61_63","Agriculture",0,"South-Central Interior Mesophytic Forest",1876,180,6890,13210,61,48241,14
"57","13210_61_63_Developed","13210_61_63","Developed",0,"South-Central Interior Mesophytic Forest",1876,120,8345,13210,61,48241,17
"58","13210_61_63_Water","13210_61_63","Water",0,"South-Central Interior Mesophytic Forest",NA,NA,NA,NA,NA,NA,NA
"59","13210_61_63_UN","13210_61_63","UN",0,"South-Central Interior Mesophytic Forest",1876,6,5194,13210,61,48241,10
"60","13210_61_63_UE","13210_61_63","UE",0,"South-Central Interior Mesophytic Forest",1876,7,2971,13210,61,48241,6
"61","13400_61_A","13400_61","A",60,"Appalachian Shale Barrens",NA,NA,NA,NA,NA,NA,NA
"62","13400_61_B","13400_61","B",25,"Appalachian Shale Barrens",NA,NA,NA,NA,NA,NA,NA
